country,annual_income,corruption_index,cost_index,monthly_income,purchasing_power_index,gdp_per_capita,tourists_in_millions,receipts_in_billions,receipts_per_tourist,percentage_of_gdp,unemployment_rate
New Zealand,45340.0,12.0,117.2,3778.0,54.9,46420.0,4.1,4.51,1018.0,1.7,5.0
Nicaragua,2010.0,80.0,35.8,168.0,8.0,47316.0,4.1,4.51,1018.0,1.7,5.0
Niger,590.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,0.8
Nigeria,2100.0,76.0,41.8,175.0,7.1,47316.0,4.1,4.51,1018.0,1.7,9.8
Norway,84090.0,15.0,124.6,7008.0,95.9,79201.0,1.4,2.2,1572.0,0.5,5.0
Oman,4130.0,69.0,48.9,782.0,25.8,30422.0,4.1,4.51,1018.0,1.7,5.0
Pakistan,1500.0,72.0,25.8,125.0,8.3,47316.0,4.1,4.51,1018.0,1.7,4.4
Panama,4130.0,69.0,48.9,782.0,25.8,31680.0,4.1,4.51,1018.0,1.7,5.0
Papua New Guinea,2790.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Paraguay,5340.0,70.0,38.6,445.0,19.6,47316.0,4.1,4.51,1018.0,1.7,5.0
Philippines,3640.0,67.0,40.9,303.0,12.6,47316.0,1.5,2.77,1867.0,0.7,2.4
Poland,16670.0,44.0,51.1,1389.0,46.3,37503.0,4.1,4.51,1018.0,1.7,3.4
Portugal,23730.0,38.0,76.4,1978.0,44.1,35888.0,4.2,10.52,2500.0,4.2,5.0
Principality of Monaco,4130.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,2.0
Puerto Rico,4130.0,69.0,48.9,782.0,25.8,47316.0,3.9,2.92,752.0,2.8,5.0
Qatar,57120.0,37.0,71.4,4760.0,113.6,93521.0,0.6,14.32,24601.0,8.0,0.3
Romania,14170.0,55.0,47.4,1181.0,42.4,35414.0,5.0,1.61,321.0,0.6,5.2
Russian Federation,11600.0,71.0,36.9,967.0,44.7,33361.0,6.4,4.96,780.0,0.3,5.0
Saudi Arabia,22270.0,47.0,44.5,1856.0,71.1,49551.0,4.1,4.51,1018.0,1.7,7.4
Serbia,4130.0,69.0,51.2,703.0,23.4,47316.0,0.4,1.42,3188.0,2.3,5.0
Sierra Leone,510.0,66.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Singapore,64010.0,15.0,75.0,5334.0,121.1,116486.0,4.1,4.51,1018.0,1.7,3.6
Slovakia,4130.0,69.0,48.9,782.0,25.8,33010.0,4.1,4.51,1018.0,1.7,5.0
Slovenia,4130.0,69.0,48.9,782.0,25.8,43625.0,4.1,4.51,1018.0,1.7,5.0
Somalia,450.0,87.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
South Africa,6440.0,56.0,47.1,537.0,19.4,47316.0,3.9,2.72,699.0,0.6,33.6
South Korea,34980.0,38.0,87.0,2915.0,57.1,46918.0,2.5,11.78,4675.0,0.7,3.5
South Sudan,460.0,89.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Spain,29740.0,39.0,82.9,2478.0,50.9,40775.0,4.1,4.51,1018.0,1.7,14.7
Sri Lanka,3820.0,63.0,30.4,318.0,17.8,47316.0,4.1,4.51,1018.0,1.7,5.4
Sudan,670.0,80.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Suriname,4130.0,69.0,35.0,370.0,18.0,47316.0,4.1,4.51,1018.0,1.7,5.0
Sweden,58890.0,15.0,109.3,4908.0,76.5,59324.0,4.1,4.51,1018.0,1.7,8.7
Switzerland,90360.0,16.0,142.4,7530.0,90.1,77324.0,4.1,4.51,1018.0,1.7,5.3
Syria,1170.0,87.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Taiwan,4130.0,69.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,3.7
Tajikistan,1150.0,75.0,22.8,96.0,7.2,47316.0,4.1,4.51,1018.0,1.7,5.0
Tanzania,4130.0,69.0,34.1,95.0,4.7,47316.0,4.1,4.51,1018.0,1.7,5.0
Thailand,7260.0,65.0,38.4,605.0,26.8,47316.0,4.1,4.51,1018.0,1.7,1.4
Timor-Leste,4130.0,69.0,41.9,162.0,6.6,47316.0,4.1,4.51,1018.0,1.7,5.0
Togo,980.0,70.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Tunisia,4130.0,69.0,30.9,303.0,16.7,47316.0,4.1,4.51,1018.0,1.7,5.0
Turkey,9830.0,62.0,34.4,819.0,40.6,30472.0,16.0,13.77,862.0,1.7,13.4
Turkmenistan,7220.0,81.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Turks and Caicos Islands,4130.0,69.0,124.6,1967.0,26.9,47316.0,4.1,4.51,1018.0,1.7,5.0
Uganda,840.0,73.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Ukraine,4120.0,68.0,29.9,343.0,19.6,47316.0,3.4,0.69,203.0,0.3,8.9
United Arab Emirates,39410.0,31.0,72.3,3284.0,77.3,47316.0,8.1,24.62,3045.0,6.9,5.0
United Kingdom,45380.0,22.0,107.9,3782.0,59.7,49675.0,4.1,4.51,1018.0,1.7,4.5
United States,70430.0,33.0,100.0,5869.0,100.0,69288.0,45.0,84.21,1870.0,0.4,5.5
Uzbekistan,1960.0,72.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Venezuela,13080.0,86.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Vietnam,3560.0,61.0,34.4,297.0,14.7,47316.0,3.8,3.23,842.0,0.9,2.2
Virgin Islands,4130.0,69.0,48.9,782.0,25.8,47316.0,8.6,0.69,80.0,16.3,5.0
Yemen,670.0,84.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
Zambia,1040.0,67.0,31.7,87.0,4.7,47316.0,4.1,4.51,1018.0,1.7,5.0
Zimbabwe,1400.0,77.0,48.9,782.0,25.8,47316.0,4.1,4.51,1018.0,1.7,5.0
